date,y,#affected+arrivegreekislands.1,#affected+arrivemainlandgreece.1,#affected+arrivefyrom.1,#affected+arriveserbia.1,#affected+arrivecroatia.1,#affected+arriveslovenia.1,#affected+arrivegreekislands.2,#affected+arrivemainlandgreece.2,#affected+arrivefyrom.2,#affected+arriveserbia.2,#affected+arrivecroatia.2,#affected+arriveslovenia.2,#affected+arrivegreekislands.3,#affected+arrivemainlandgreece.3,#affected+arrivefyrom.3,#affected+arriveserbia.3,#affected+arrivecroatia.3,#affected+arriveslovenia.3,#affected+arrivegreekislands.4,#affected+arrivemainlandgreece.4,#affected+arrivefyrom.4,#affected+arriveserbia.4,#affected+arrivecroatia.4,#affected+arriveslovenia.4,#affected+arrivegreekislands.5,#affected+arrivemainlandgreece.5,#affected+arrivefyrom.5,#affected+arriveserbia.5,#affected+arrivecroatia.5,#affected+arriveslovenia.5,#affected+arrivegreekislands.6,#affected+arrivemainlandgreece.6,#affected+arrivefyrom.6,#affected+arriveserbia.6,#affected+arrivecroatia.6,#affected+arriveslovenia.6,#affected+arrivegreekislands.7,#affected+arrivemainlandgreece.7,#affected+arrivefyrom.7,#affected+arriveserbia.7,#affected+arrivecroatia.7,#affected+arriveslovenia.7
15/02/2016,1651,51,724,452,641,1749,2660,186,161,1019,1699,2595,2576,123,496,2115,1923,2635,1774,502,2756,2540,2636,1716,2547,1071,793,1817,1758,2544,2637,3676,2283,2441,2379,2764,2805,2418,1259,2392,2563,2736,2582
16/02/2016,1143,181,65,542,691,512,516,51,724,452,641,1749,2660,186,161,1019,1699,2595,2576,123,496,2115,1923,2635,1774,502,2756,2540,2636,1716,2547,1071,793,1817,1758,2544,2637,3676,2283,2441,2379,2764,2805
17/02/2016,181,1783,1024,234,443,701,715,181,65,542,691,512,516,51,724,452,641,1749,2660,186,161,1019,1699,2595,2576,123,496,2115,1923,2635,1774,502,2756,2540,2636,1716,2547,1071,793,1817,1758,2544,2637
18/02/2016,817,4611,1772,668,345,769,769,1783,1024,234,443,701,715,181,65,542,691,512,516,51,724,452,641,1749,2660,186,161,1019,1699,2595,2576,123,496,2115,1923,2635,1774,502,2756,2540,2636,1716,2547
19/02/2016,50,4824,3118,1200,1117,0,0,4611,1772,668,345,769,769,1783,1024,234,443,701,715,181,65,542,691,512,516,51,724,452,641,1749,2660,186,161,1019,1699,2595,2576,123,496,2115,1923,2635,1774
20/02/2016,453,2440,1731,799,713,408,408,4824,3118,1200,1117,0,0,4611,1772,668,345,769,769,1783,1024,234,443,701,715,181,65,542,691,512,516,51,724,452,641,1749,2660,186,161,1019,1699,2595,2576
21/02/2016,899,3772,5738,209,580,834,828,2440,1731,799,713,408,408,4824,3118,1200,1117,0,0,4611,1772,668,345,769,769,1783,1024,234,443,701,715,181,65,542,691,512,516,51,724,452,641,1749,2660
22/02/2016,744,1618,3180,774,476,630,623,3772,5738,209,580,834,828,2440,1731,799,713,408,408,4824,3118,1200,1117,0,0,4611,1772,668,345,769,769,1783,1024,234,443,701,715,181,65,542,691,512,516
23/02/2016,111,2545,3002,714,1595,0,0,1618,3180,774,476,630,623,3772,5738,209,580,834,828,2440,1731,799,713,408,408,4824,3118,1200,1117,0,0,4611,1772,668,345,769,769,1783,1024,234,443,701,715
24/02/2016,75,3474,1927,382,106,507,0,2545,3002,714,1595,0,0,1618,3180,774,476,630,623,3772,5738,209,580,834,828,2440,1731,799,713,408,408,4824,3118,1200,1117,0,0,4611,1772,668,345,769,769
25/02/2016,583,2044,3086,551,1,0,0,3474,1927,382,106,507,0,2545,3002,714,1595,0,0,1618,3180,774,476,630,623,3772,5738,209,580,834,828,2440,1731,799,713,408,408,4824,3118,1200,1117,0,0
26/02/2016,874,1675,2468,168,475,841,478,2044,3086,551,1,0,0,3474,1927,382,106,507,0,2545,3002,714,1595,0,0,1618,3180,774,476,630,623,3772,5738,209,580,834,828,2440,1731,799,713,408,408
27/02/2016,321,2972,649,20,0,250,254,1675,2468,168,475,841,478,2044,3086,551,1,0,0,3474,1927,382,106,507,0,2545,3002,714,1595,0,0,1618,3180,774,476,630,623,3772,5738,209,580,834,828
28/02/2016,447,1355,2525,310,158,385,382,2972,649,20,0,250,254,1675,2468,168,475,841,478,2044,3086,551,1,0,0,3474,1927,382,106,507,0,2545,3002,714,1595,0,0,1618,3180,774,476,630,623
29/02/2016,487,3651,3234,92,431,358,0,1355,2525,310,158,385,382,2972,649,20,0,250,254,1675,2468,168,475,841,478,2044,3086,551,1,0,0,3474,1927,382,106,507,0,2545,3002,714,1595,0,0
01/03/2016,118,2072,920,208,69,0,0,3651,3234,92,431,358,0,1355,2525,310,158,385,382,2972,649,20,0,250,254,1675,2468,168,475,841,478,2044,3086,551,1,0,0,3474,1927,382,106,507,0
02/03/2016,644,609,1107,30,372,436,0,2072,920,208,69,0,0,3651,3234,92,431,358,0,1355,2525,310,158,385,382,2972,649,20,0,250,254,1675,2468,168,475,841,478,2044,3086,551,1,0,0
03/03/2016,588,2162,2073,457,16,476,479,609,1107,30,372,436,0,2072,920,208,69,0,0,3651,3234,92,431,358,0,1355,2525,310,158,385,382,2972,649,20,0,250,254,1675,2468,168,475,841,478
04/03/2016,114,2569,1061,269,428,0,477,2162,2073,457,16,476,479,609,1107,30,372,436,0,2072,920,208,69,0,0,3651,3234,92,431,358,0,1355,2525,310,158,385,382,2972,649,20,0,250,254
05/03/2016,500,332,1035,177,218,410,409,2569,1061,269,428,0,477,2162,2073,457,16,476,479,609,1107,30,372,436,0,2072,920,208,69,0,0,3651,3234,92,431,358,0,1355,2525,310,158,385,382
06/03/2016,402,630,1444,293,115,253,253,332,1035,177,218,410,409,2569,1061,269,428,0,477,2162,2073,457,16,476,479,609,1107,30,372,436,0,2072,920,208,69,0,0,3651,3234,92,431,358,0
07/03/2016,153,2480,980,261,236,0,253,630,1444,293,115,253,253,332,1035,177,218,410,409,2569,1061,269,428,0,477,2162,2073,457,16,476,479,609,1107,30,372,436,0,2072,920,208,69,0,0
