date,y,#affected+arrivegreekislands.1,#affected+arrivemainlandgreece.1,#affected+arrivegreekislands.2,#affected+arrivemainlandgreece.2,#affected+arrivegreekislands.3,#affected+arrivemainlandgreece.3,#affected+arrivegreekislands.4,#affected+arrivemainlandgreece.4,#affected+arrivegreekislands.5,#affected+arrivemainlandgreece.5,#affected+arrivegreekislands.6,#affected+arrivemainlandgreece.6,#affected+arrivegreekislands.7,#affected+arrivemainlandgreece.7
15/02/2016,542,51,724,186,161,123,496,502,2756,1071,793,3676,2283,2418,1259
16/02/2016,234,181,65,51,724,186,161,123,496,502,2756,1071,793,3676,2283
17/02/2016,668,1783,1024,181,65,51,724,186,161,123,496,502,2756,1071,793
18/02/2016,1200,4611,1772,1783,1024,181,65,51,724,186,161,123,496,502,2756
19/02/2016,799,4824,3118,4611,1772,1783,1024,181,65,51,724,186,161,123,496
20/02/2016,209,2440,1731,4824,3118,4611,1772,1783,1024,181,65,51,724,186,161
21/02/2016,774,3772,5738,2440,1731,4824,3118,4611,1772,1783,1024,181,65,51,724
22/02/2016,714,1618,3180,3772,5738,2440,1731,4824,3118,4611,1772,1783,1024,181,65
23/02/2016,382,2545,3002,1618,3180,3772,5738,2440,1731,4824,3118,4611,1772,1783,1024
24/02/2016,551,3474,1927,2545,3002,1618,3180,3772,5738,2440,1731,4824,3118,4611,1772
25/02/2016,168,2044,3086,3474,1927,2545,3002,1618,3180,3772,5738,2440,1731,4824,3118
26/02/2016,20,1675,2468,2044,3086,3474,1927,2545,3002,1618,3180,3772,5738,2440,1731
27/02/2016,310,2972,649,1675,2468,2044,3086,3474,1927,2545,3002,1618,3180,3772,5738
28/02/2016,92,1355,2525,2972,649,1675,2468,2044,3086,3474,1927,2545,3002,1618,3180
29/02/2016,208,3651,3234,1355,2525,2972,649,1675,2468,2044,3086,3474,1927,2545,3002
01/03/2016,30,2072,920,3651,3234,1355,2525,2972,649,1675,2468,2044,3086,3474,1927
02/03/2016,457,609,1107,2072,920,3651,3234,1355,2525,2972,649,1675,2468,2044,3086
03/03/2016,269,2162,2073,609,1107,2072,920,3651,3234,1355,2525,2972,649,1675,2468
04/03/2016,177,2569,1061,2162,2073,609,1107,2072,920,3651,3234,1355,2525,2972,649
05/03/2016,293,332,1035,2569,1061,2162,2073,609,1107,2072,920,3651,3234,1355,2525
06/03/2016,261,630,1444,332,1035,2569,1061,2162,2073,609,1107,2072,920,3651,3234
07/03/2016,127,2480,980,630,1444,332,1035,2569,1061,2162,2073,609,1107,2072,920
